",Injury to the hand,[Hand or finger pain,Hand or finger swelling,Wrist pain,Hand or finger stiffness or tightness,Joint pain,Skin growth,Muscle stiffness or tightness,Pallor,Focal weakness,Symptoms of the face,Wrist swelling,Hand or finger lump or mass,],Injury to the hand "
",Choledocholithiasis,[Sharp abdominal pain,Upper abdominal pain,Vomiting,Nausea,Sharp chest pain,Back pain,Diarrhea,Jaundice,Side pain,Chills,Unusual color or odor to urine,Decreased appetite,],Choledocholithiasis "
",Injury to the hip,[Hip pain,Leg pain,Neck pain,Groin pain,Lower body pain,Hand or finger swelling,Peripheral edema,Leg swelling,Problems with movement,],Injury to the hip "
",Cirrhosis,[Sharp abdominal pain,Shortness of breath,Peripheral edema,Fatigue,Upper abdominal pain,Abdominal distention,Stomach bloating,Blood in stool,Regurgitation,Symptoms of the kidneys,Vomiting blood,Melena,],Cirrhosis "
",Thoracic aortic aneurysm,[Sharp chest pain,Dizziness,Back pain,Shortness of breath,Sharp abdominal pain,Fatigue,Chest tightness,Unusual color or odor to urine,Flushing,Leg cramps or spasms,Coughing up sputum,Jaundice,],Thoracic aortic aneurysm "
",Subdural hemorrhage,[Headache,Dizziness,Problems with movement,Depressive or psychotic symptoms,Seizures,Vomiting,Facial pain,Disturbance of memory,Irritable infant,Abnormal movement of eyelid,Hostile behavior,Delusions or hallucinations,],Subdural hemorrhage "
",Congenital rubella,[Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night,],Congenital rubella "
",Diabetic retinopathy,[Diminished vision,Spots or clouds in vision,Pain in eye,Lacrimation,Symptoms of eye,Eye redness,Foreign body sensation in eye,Itchiness of eye,Blindness,Bleeding from eye,Abnormal movement of eyelid,Double vision,],Diabetic retinopathy "
",Fibromyalgia,[Back pain,Ache all over,Neck pain,Muscle pain,Leg pain,Headache,Shoulder pain,Low back pain,Sharp chest pain,Arm pain,Hip pain,Fatigue,],Fibromyalgia "
",Ischemia of the bowel,[Sharp abdominal pain,Vomiting,Diarrhea,Nausea,Rectal bleeding,Blood in stool,Lower abdominal pain,Constipation,Melena,Burning abdominal pain,Chills,Retention of urine,],Ischemia of the bowel "
",Fetal alcohol syndrome,[Excessive anger,Temper problems,Lack of growth,Eye redness,Depressive or psychotic symptoms,Hostile behavior,Smoking problems,Seizures,Coryza,Wrist weakness,Eye strain,Emotional symptoms,],Fetal alcohol syndrome "
",Peritonitis,[Sharp abdominal pain,Nausea,Vomiting,Back pain,Fever,Shortness of breath,Lower abdominal pain,Upper abdominal pain,Side pain,Groin mass,Intermenstrual bleeding,Groin pain,],Peritonitis "
",Injury to the abdomen,[Sharp abdominal pain,Sharp chest pain,Back pain,Burning abdominal pain,Upper abdominal pain,Lower abdominal pain,Leg pain,Neck pain,Pain during pregnancy,Side pain,Problems during pregnancy,Blood in urine,],Injury to the abdomen "
",Acute pancreatitis,[Sharp abdominal pain,Vomiting,Nausea,Upper abdominal pain,Diarrhea,Sharp chest pain,Burning abdominal pain,Back pain,Side pain,Abusing alcohol,Lower body pain,Hemoptysis,],Acute pancreatitis "
",Thrombophlebitis,[Leg pain,Leg swelling,Arm pain,Abnormal appearing skin,Arm swelling,Foot or toe pain,Ache all over,Lymphedema,Skin on leg or foot looks infected,Skin swelling,Leg cramps or spasms,Hand or finger swelling,],Thrombophlebitis "
",Asthma,[Cough,Shortness of breath,Wheezing,Difficulty breathing,Nasal congestion,Fever,Sharp chest pain,Coryza,Chest tightness,Allergic reaction,Coughing up sputum,Congestion in chest,],Asthma "
",Foreign body in the vagina,[Vaginal discharge,Pelvic pain,Painful urination,Lower abdominal pain,Skin lesion,Back weakness,Pus in sputum,Emotional symptoms,Muscle swelling,Pus in urine,Abnormal size or shape of ear,Low back weakness,],Foreign body in the vagina "
",Restless leg syndrome,[Abnormal involuntary movements,Leg pain,Headache,Sleepiness,Apnea,Fatigue,Abnormal breathing sounds,Depression,Back pain,Difficulty breathing,Loss of sensation,Insomnia,],Restless leg syndrome "
",Emphysema,[Sharp chest pain,Shortness of breath,Chest tightness,Cough,Nausea,Ache all over,Back pain,Cross-eyed,Itchy eyelid,Excessive growth,Emotional symptoms,Elbow cramps or spasms,],Emphysema "
",Cysticercosis,[Seizures,Headache,Vomiting,Shortness of breath,Abnormal involuntary movements,Elbow cramps or spasms,Elbow weakness,Excessive growth,Underweight,Low back weakness,Wrist weakness,Feeling hot and cold,],Cysticercosis "
",Induced abortion,[Spotting or bleeding during pregnancy,Sharp abdominal pain,Pain during pregnancy,Cramps and spasms,Lower abdominal pain,Pelvic pain,Problems during pregnancy,Intermenstrual bleeding,Vaginal discharge,Blood clots during menstrual periods,Groin pain,Absence of menstruation,],Induced abortion "
",Teething syndrome,[Fever,Pulling at ears,Cough,Irritable infant,Nasal congestion,Diarrhea,Ear pain,Gum pain,Symptoms of infants,Temper problems,Redness in ear,Decreased appetite,],Teething syndrome "
",Infectious gastroenteritis,[Vomiting,Diarrhea,Nausea,Sharp abdominal pain,Fever,Burning abdominal pain,Headache,Blood in stool,Decreased appetite,Chills,Fluid retention,Flu-like syndrome,],Infectious gastroenteritis "
",Acute sinusitis,[Cough,Nasal congestion,Sore throat,Headache,Frontal headache,Coryza,Fever,Ear pain,Sinus congestion,Painful sinuses,Facial pain,Coughing up sputum,],Acute sinusitis "
",Von Hippel-Lindau disease,[Seizures,Upper abdominal pain,Excessive growth,Abnormal appearing skin,Headache,Blood in urine,Paresthesia,Diminished vision,Knee pain,Fatigue,Nausea,Kidney mass,],Von Hippel-Lindau disease "
",Substance-related mental disorder,[Depressive or psychotic symptoms,Delusions or hallucinations,Depression,Anxiety and nervousness,Drug abuse,Abusing alcohol,Insomnia,Feeling ill,Excessive anger,Problems with movement,Hostile behavior,Fears and phobias,],Substance-related mental disorder "
",Postpartum depression,[Depression,Recent pregnancy,Problems during pregnancy,Anxiety and nervousness,Pain during pregnancy,Depressive or psychotic symptoms,Drug abuse,Spotting or bleeding during pregnancy,Uterine contractions,Delusions or hallucinations,Intermenstrual bleeding,Excessive anger,],Postpartum depression "
",Coronary atherosclerosis,[Sharp chest pain,Shortness of breath,Fatigue,Chest tightness,Palpitations,Irregular heartbeat,Lymphedema,Leg cramps or spasms,Burning chest pain,],Coronary atherosclerosis "
",Spondylitis,[Back pain,Low back pain,Leg pain,Neck pain,Hip pain,Side pain,Back cramps or spasms,Lower body pain,Stiffness all over,Muscle cramps, contractures, or spasms,Low back cramps or spasms,Back mass or lump,],Spondylitis "
",Pituitary adenoma,[Headache,Loss of sensation,Diminished vision,Knee pain,Nausea,Disturbance of memory,Coryza,Weight gain,Pain in eye,Nosebleed,Long menstrual periods,Muscle swelling,],Pituitary adenoma "
",Uterine fibroids,[Sharp abdominal pain,Pelvic pain,Heavy menstrual flow,Lower abdominal pain,Unpredictable menstruation,Painful menstruation,Intermenstrual bleeding,Long menstrual periods,Infertility,Vaginal discharge,Involuntary urination,Cramps and spasms,],Uterine fibroids "
",Idiopathic nonmenstrual bleeding,[Intermenstrual bleeding,Unpredictable menstruation,Long menstrual periods,Pelvic pain,Sharp abdominal pain,Heavy menstrual flow,Painful menstruation,Vaginal discharge,Painful urination,Frequent menstruation,Blood clots during menstrual periods,Sweating,],Idiopathic nonmenstrual bleeding "
",Chalazion,[Mass on eyelid,Pain in eye,Swollen eye,Eye redness,Symptoms of eye,Eyelid swelling,Eyelid lesion or rash,Diminished vision,Itchiness of eye,Skin growth,Foreign body sensation in eye,Lacrimation,],Chalazion "
",Ovarian torsion,[Sharp abdominal pain,Lower abdominal pain,Pelvic pain,Ache all over,Groin mass,Unwanted hair,Symptoms of bladder,Knee swelling,Pain or soreness of breast,Skin swelling,Infertility,Acne or pimples,],Ovarian torsion "
",Retinopathy due to high blood pressure,[Diminished vision,Spots or clouds in vision,Symptoms of eye,Pain in eye,Itchiness of eye,Foreign body sensation in eye,Mass on eyelid,Eye redness,Blindness,Pus draining from ear,Lacrimation,Irregular appearing nails,],Retinopathy due to high blood pressure "
",Vaginal yeast infection,[Vaginal itching,Vaginal discharge,Painful urination,Sharp abdominal pain,Vaginal pain,Vaginal redness,Itching of skin,Problems during pregnancy,Suprapubic pain,Pelvic pain,Lower abdominal pain,Vulvar irritation,],Vaginal yeast infection "
",Mastoiditis,[Ear pain,Dizziness,Redness in ear,Fluid in ear,Cough,Headache,Diminished hearing,Fever,Plugged feeling in ear,Ringing in ear,Nasal congestion,Facial pain,],Mastoiditis "
",Lung contusion,[Back pain,Sharp chest pain,Ache all over,Rib pain,Elbow pain,Hip pain,Hurts to breath,Fluid retention,Dizziness,Headache,Shoulder pain,Shortness of breath,],Lung contusion "
",Hypertrophic obstructive cardiomyopathy (HOCM),[Sharp chest pain,Difficulty breathing,Anxiety and nervousness,Chest tightness,Leg swelling,Joint pain,Cough,Emotional symptoms,Elbow cramps or spasms,Nailbiting,Muscle swelling,Elbow weakness,],Hypertrophic obstructive cardiomyopathy (HOCM) "
",Ingrown toe nail,[Irregular appearing nails,Foot or toe pain,Skin on leg or foot looks infected,Foot or toe swelling,Abnormal appearing skin,Skin dryness, peeling, scaliness, or roughness,Skin growth,Skin on arm or hand looks infected,Swollen eye,Neck swelling,Skin irritation,Itchy scalp,],Ingrown toe nail "
",Pulmonary eosinophilia,[Cough,Shortness of breath,Fever,Nasal congestion,Sharp chest pain,Difficulty breathing,Dizziness,Ache all over,Nosebleed,Redness in ear,Fluid retention,Paresthesia,],Pulmonary eosinophilia "
",Open wound of the hip,[Hip pain,Leg pain,Hip swelling,],Open wound of the hip "
",Corneal disorder,[Diminished vision,Pain in eye,Eye redness,Spots or clouds in vision,Symptoms of eye,Foreign body sensation in eye,Lacrimation,Itchiness of eye,White discharge from eye,Swollen eye,Double vision,Eyelid lesion or rash,],Corneal disorder "
",Foreign body in the gastrointestinal tract,[Difficulty in swallowing,Vomiting,Sharp abdominal pain,Regurgitation,Vomiting blood,Throat feels tight,Lump in throat,Recent weight loss,Cramps and spasms,Incontinence of stool,Foot or toe cramps or spasms,Temper problems,],Foreign body in the gastrointestinal tract "
",Endophthalmitis,[Pain in eye,Eye redness,Swollen eye,Diminished vision,Itchiness of eye,Mass on eyelid,Paresthesia,Painful sinuses,Skin lesion,Foot or toe pain,Lacrimation,Painful urination,],Endophthalmitis "
",Intestinal malabsorption,[Diarrhea,Vomiting,Sharp abdominal pain,Allergic reaction,Irritable infant,Infant feeding problem,Cough,Constipation,Nasal congestion,Infant spitting up,Feeling ill,Flatulence,],Intestinal malabsorption "
",Lead poisoning,[Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night,],Lead poisoning "
",Viral warts,[Warts,Skin lesion,Skin growth,Abnormal appearing skin,Skin moles,Acne or pimples,Bumps on penis,Skin swelling,Skin dryness, peeling, scaliness, or roughness,Lip swelling,Too little hair,Foot or toe lump or mass,],Viral warts "
",Hyperhidrosis,[Sweating,Warts,Acne or pimples,Fever,Skin rash,Redness in ear,Headache,Diminished vision,Sharp abdominal pain,Cough,Vomiting,Cramps and spasms,],Hyperhidrosis "
",Stroke,[Focal weakness,Dizziness,Headache,Loss of sensation,Weakness,Problems with movement,Slurring words,Difficulty speaking,Depressive or psychotic symptoms,Seizures,Abnormal involuntary movements,Disturbance of memory,],Stroke "
",Pilonidal cyst,[Skin growth,Lower body pain,Ache all over,Skin swelling,Pain of the anus,Bones are painful,Back mass or lump,Mass or swelling around the anus,Pelvic pain,Fluid retention,Low back swelling,Irregular appearing scalp,],Pilonidal cyst "
",Crushing injury,[Hand or finger pain,Foot or toe pain,Loss of sensation,Hand or finger swelling,Hand or finger stiffness or tightness,Ankle swelling,Knee swelling,Neck swelling,Lymphedema,],Crushing injury "
",Normal pressure hydrocephalus,[Problems with movement,Headache,Disturbance of memory,Depressive or psychotic symptoms,Dizziness,Palpitations,Difficulty speaking,Involuntary urination,Fatigue,Hip lump or mass,Blood in urine,Drainage in throat,],Normal pressure hydrocephalus "
",Alopecia,[Too little hair,Irregular appearing scalp,Skin rash,Skin swelling,Abnormal appearing skin,Dry or flaky scalp,Acne or pimples,Skin dryness, peeling, scaliness, or roughness,Itchy scalp,Itching of skin,Feeling ill,Skin growth,],Alopecia "
",Hashimoto thyroiditis,[Weight gain,Constipation,Heavy menstrual flow,Premenstrual tension or irritability,Warts,Difficulty in swallowing,Too little hair,Palpitations,Heartburn,Suprapubic pain,Abnormal involuntary movements,Feeling hot,],Hashimoto thyroiditis "
",Flat feet,[Foot or toe pain,Knee pain,Ankle pain,Problems with movement,Cramps and spasms,Feet turned in,Symptoms of eye,Foot or toe stiffness or tightness,Skin swelling,Weight gain,Skin growth,Retention of urine,],Flat feet "
",Nonalcoholic liver disease (NASH),[Sharp abdominal pain,Upper abdominal pain,Nausea,Dizziness,Diarrhea,Weight gain,Mouth ulcer,Chills,Paresthesia,Joint pain,Nosebleed,Regurgitation,],Nonalcoholic liver disease (NASH) "
",Hemarthrosis,[Knee pain,Knee swelling,Frequent urination,Shoulder pain,Ankle swelling,Knee lump or mass,Abnormal appearing skin,Ache all over,Knee stiffness or tightness,Problems with movement,Elbow cramps or spasms,Elbow weakness,],Hemarthrosis "
",Pelvic organ prolapse,[Involuntary urination,Frequent urination,Symptoms of bladder,Retention of urine,Suprapubic pain,Vaginal pain,Pelvic pain,Blood in urine,Pelvic pressure,Vaginal discharge,Excessive urination at night,Intermenstrual bleeding,],Pelvic organ prolapse "
",Fracture of the arm,[Arm pain,Wrist pain,Elbow pain,Shoulder pain,Wrist swelling,Arm swelling,Elbow swelling,Arm stiffness or tightness,Wrist stiffness or tightness,Shoulder stiffness or tightness,Elbow stiffness or tightness,],Fracture of the arm "
",Coagulation (bleeding) disorder,[Leg pain,Leg swelling,Nosebleed,Blood in urine,Eye redness,Melena,Lymphedema,Hemoptysis,Leg cramps or spasms,Early or late onset of menopause,Knee swelling,Vaginal pain,],Coagulation (bleeding) disorder "
",Intracranial hemorrhage,[Headache,Depressive or psychotic symptoms,Disturbance of memory,Problems with movement,Dizziness,Seizures,Weakness,Vomiting,Joint pain,Abnormal involuntary movements,Diminished vision,Difficulty speaking,],Intracranial hemorrhage "
",Hyperkalemia,[Shortness of breath,Weakness,Nausea,Vomiting,Dizziness,Sharp chest pain,Depressive or psychotic symptoms,Sharp abdominal pain,Feeling ill,Decreased heart rate,Decreased appetite,Difficulty in swallowing,],Hyperkalemia "
",Cornea infection,[Pain in eye,Eye redness,Diminished vision,Symptoms of eye,Foreign body sensation in eye,Lacrimation,Eye burns or stings,Itchiness of eye,Spots or clouds in vision,Swollen eye,Lip swelling,Itchy eyelid,],Cornea infection "
",Abscess of the lung,[Cough,Sharp chest pain,Shortness of breath,Hemoptysis,Depressive or psychotic symptoms,Back pain,Drainage in throat,Vomiting,Headache,Itchy eyelid,Wrist weakness,Excessive growth,],Abscess of the lung "
",Dengue fever,[Sore throat,Fever,Shoulder cramps or spasms,Ankle pain,Wrist pain,Pain during pregnancy,Joint stiffness or tightness,Excessive anger,Pain or soreness of breast,Knee lump or mass,Facial pain,Pain in eye,],Dengue fever "
",Chronic sinusitis,[Cough,Nasal congestion,Headache,Sore throat,Fever,Frontal headache,Coryza,Ear pain,Painful sinuses,Sinus congestion,Facial pain,Congestion in chest,],Chronic sinusitis "
",Cholesteatoma,[Ear pain,Diminished hearing,Fluid in ear,Redness in ear,Nasal congestion,Mass on ear,Plugged feeling in ear,Bleeding from ear,Skin growth,Pus draining from ear,Allergic reaction,Muscle swelling,],Cholesteatoma "
",Volvulus,[Sharp abdominal pain,Vomiting,Constipation,Burning abdominal pain,Peripheral edema,Back pain,Nausea,Depressive or psychotic symptoms,Diarrhea,Elbow cramps or spasms,Elbow weakness,Excessive growth,],Volvulus "
",Injury to the finger,[Hand or finger pain,Hand or finger swelling,Hand or finger stiffness or tightness,Hand or finger weakness,Swelling of scrotum,Hand or finger lump or mass,],Injury to the finger "
",Poisoning due to analgesics,[Depressive or psychotic symptoms,Depression,Vomiting,Abusing alcohol,Problems during pregnancy,Low self-esteem,Skin swelling,Heartburn,Hostile behavior,Throat irritation,Excessive anger,Blood in stool,],Poisoning due to analgesics "
",Atrial fibrillation,[Shortness of breath,Sharp chest pain,Palpitations,Dizziness,Irregular heartbeat,Fatigue,Increased heart rate,Decreased heart rate,],Atrial fibrillation "
",Pinworm infection,[Itching of the anus,Sharp abdominal pain,Pain of the anus,Skin rash,Constipation,Itching of skin,Painful urination,Neck mass,Retention of urine,Ankle pain,Burning abdominal pain,Coryza,],Pinworm infection "
",Urethral valves,[Side pain,Sharp abdominal pain,Lower abdominal pain,Suprapubic pain,Vomiting,Constipation,Blood in urine,Skin growth,Nausea,Muscle swelling,Low back weakness,Elbow weakness,],Urethral valves "
",Open wound of the neck,[Skin lesion,Ache all over,Abnormal appearing skin,Peripheral edema,Foot or toe swelling,Skin swelling,Sweating,Skin on leg or foot looks infected,Delusions or hallucinations,Increased heart rate,Skin on arm or hand looks infected,],Open wound of the neck "
",Achalasia,[Sharp chest pain,Difficulty in swallowing,Back pain,Cough,Regurgitation,Hurts to breath,Throat feels tight,Rib pain,Lump in throat,Cramps and spasms,Hoarse voice,Chest tightness,],Achalasia "
",Conductive hearing loss,[Diminished hearing,Ear pain,Plugged feeling in ear,Redness in ear,Ringing in ear,Dizziness,Fluid in ear,Difficulty speaking,Lack of growth,Hoarse voice,Swollen or red tonsils,Low self-esteem,],Conductive hearing loss "
",Abdominal hernia,[Sharp abdominal pain,Groin mass,Ache all over,Upper abdominal pain,Groin pain,Lower abdominal pain,Irregular belly button,Swollen abdomen,Regurgitation,Infant spitting up,Swelling of scrotum,Symptoms of the scrotum and testes,],Abdominal hernia "
",Cerebral palsy,[Seizures,Problems with movement,Cramps and spasms,Difficulty eating,Lack of growth,Leg cramps or spasms,Back cramps or spasms,Blindness,Infant feeding problem,Swollen tongue,Lip sore,Tongue lesions,],Cerebral palsy "
",Marijuana abuse,[Drug abuse,Abusing alcohol,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior,Delusions or hallucinations,Excessive anger,Temper problems,Fears and phobias,Low self-esteem,Difficulty speaking,],Marijuana abuse "
",Cryptococcosis,[Lip swelling,Fainting,Seizures,Depressive or psychotic symptoms,Shoulder swelling,Nailbiting,Eye strain,Cross-eyed,Vulvar sore,Hip stiffness or tightness,Itchy eyelid,Wrist weakness,],Cryptococcosis "
",Obesity,[Weight gain,Abnormal breathing sounds,Sleepiness,Apnea,Excessive appetite,],Obesity "
",Indigestion,[Sharp abdominal pain,Burning abdominal pain,Nausea,Upper abdominal pain,Heartburn,Vomiting,Sharp chest pain,Diarrhea,Constipation,Regurgitation,Stomach bloating,Decreased appetite,],Indigestion "
",Bursitis,[Shoulder pain,Knee pain,Elbow pain,Arm pain,Elbow swelling,Leg pain,Hip pain,Knee swelling,Shoulder stiffness or tightness,Leg swelling,Arm stiffness or tightness,Arm swelling,],Bursitis "
",Esophageal cancer,[Fatigue,Ache all over,Weakness,Sharp abdominal pain,Vomiting,Shortness of breath,Difficulty in swallowing,Decreased appetite,Hoarse voice,Mouth pain,Changes in stool appearance,Stomach bloating,],Esophageal cancer "
",Pulmonary congestion,[Shortness of breath,Sharp chest pain,Cough,Difficulty breathing,Nasal congestion,Fever,Chest tightness,Congestion in chest,Weakness,Fluid retention,Leg swelling,Decreased heart rate,],Pulmonary congestion "
",Juvenile rheumatoid arthritis,[Knee pain,Joint pain,Back pain,Ankle pain,Hand or finger pain,Hand or finger swelling,Problems with movement,Bones are painful,Wrist swelling,Ankle swelling,Pelvic pain,Knee swelling,],Juvenile rheumatoid arthritis "
",Actinic keratosis,[Abnormal appearing skin,Skin lesion,Skin dryness, peeling, scaliness, or roughness,Skin growth,Skin rash,Irregular appearing scalp,Skin moles,Skin swelling,Itching of skin,Skin irritation,Warts,Symptoms of the face,],Actinic keratosis "
",Acute otitis media,[Ear pain,Fever,Cough,Nasal congestion,Redness in ear,Fluid in ear,Sore throat,Coryza,Pulling at ears,Vomiting,Diminished hearing,Plugged feeling in ear,],Acute otitis media "
",Astigmatism,[Diminished vision,Symptoms of eye,Lacrimation,Spots or clouds in vision,Eye redness,Itchiness of eye,Pain in eye,Foreign body sensation in eye,Eye deviation,Eye moves abnormally,Cross-eyed,Double vision,],Astigmatism "
",Tuberous sclerosis,[Seizures,Cramps and spasms,Delusions or hallucinations,Symptoms of the kidneys,Shoulder pain,Depressive or psychotic symptoms,Difficulty speaking,Elbow weakness,Underweight,Excessive growth,Low back weakness,Feeling hot and cold,],Tuberous sclerosis "
",Empyema,[Cough,Shortness of breath,Hurts to breath,Back pain,Sharp chest pain,Coryza,Skin rash,Leg pain,Skin lesion,Sharp abdominal pain,Difficulty breathing,Abnormal appearing skin,],Empyema "
",Presbyacusis,[Diminished hearing,Dizziness,Ringing in ear,Ear pain,Neck stiffness or tightness,Elbow weakness,Excessive growth,Feeling hot and cold,Wrist weakness,Low back weakness,Emotional symptoms,Elbow cramps or spasms,],Presbyacusis "
",Neonatal jaundice,[Jaundice,Infant feeding problem,Irritable infant,Changes in stool appearance,Irregular belly button,Fluid in ear,Recent weight loss,Drainage in throat,Infant spitting up,Lack of growth,Irregular appearing scalp,Flatulence,],Neonatal jaundice "
